Meta Data,Technical Analysis: RSI
USDEUR,
Relative Strength Index (RSI),
2025-03-28,
weekly,
10,
open,
US/Eastern Time,
,{'RSI': '38.6626'}
,{'RSI': '35.7063'}
,{'RSI': '36.8631'}
,{'RSI': '55.1031'}
,{'RSI': '51.7641'}
,{'RSI': '50.8317'}
,{'RSI': '62.0762'}
,{'RSI': '66.7298'}
,{'RSI': '55.2982'}
,{'RSI': '73.9928'}
,{'RSI': '78.8670'}
,{'RSI': '76.5102'}
,{'RSI': '71.5316'}
,{'RSI': '71.3892'}
,{'RSI': '69.0186'}
,{'RSI': '65.8200'}
,{'RSI': '65.2139'}
,{'RSI': '73.4147'}
,{'RSI': '71.4531'}
,{'RSI': '64.1179'}
,{'RSI': '54.4579'}
,{'RSI': '62.8064'}
,{'RSI': '57.9606'}
,{'RSI': '53.1311'}
,{'RSI': '50.3895'}
,{'RSI': '32.1964'}
,{'RSI': '32.3315'}
,{'RSI': '36.9334'}
,{'RSI': '36.4400'}
,{'RSI': '38.4719'}
,{'RSI': '23.4991'}
,{'RSI': '31.2111'}
,{'RSI': '39.5246'}
,{'RSI': '38.9013'}
,{'RSI': '44.7069'}
,{'RSI': '40.7262'}
,{'RSI': '40.1725'}
,{'RSI': '46.0814'}
,{'RSI': '54.3355'}
,{'RSI': '59.8488'}
,{'RSI': '58.9107'}
,{'RSI': '52.8649'}
,{'RSI': '45.2595'}
,{'RSI': '45.2595'}
,{'RSI': '43.2907'}
,{'RSI': '51.5328'}
,{'RSI': '52.3877'}
,{'RSI': '58.6243'}
,{'RSI': '62.5012'}
,{'RSI': '64.5984'}
,{'RSI': '50.2393'}
,{'RSI': '55.1558'}
,{'RSI': '53.6994'}
,{'RSI': '46.2649'}
,{'RSI': '40.9792'}
,{'RSI': '49.3138'}
,{'RSI': '50.0777'}
,{'RSI': '55.4932'}
,{'RSI': '55.1367'}
,{'RSI': '54.5636'}
,{'RSI': '50.5867'}
,{'RSI': '47.0088'}
,{'RSI': '42.6483'}
,{'RSI': '42.7129'}
,{'RSI': '35.5087'}
,{'RSI': '37.3112'}
,{'RSI': '42.1530'}
,{'RSI': '50.9424'}
,{'RSI': '41.7821'}
,{'RSI': '36.2806'}
,{'RSI': '37.9521'}
,{'RSI': '52.9397'}
,{'RSI': '49.5917'}
,{'RSI': '65.0019'}
,{'RSI': '63.1198'}
,{'RSI': '73.1788'}
,{'RSI': '70.9487'}
,{'RSI': '70.3652'}
,{'RSI': '66.2806'}
,{'RSI': '65.1182'}
,{'RSI': '62.3258'}
,{'RSI': '58.6541'}
,{'RSI': '57.3118'}
,{'RSI': '52.6518'}
,{'RSI': '47.6713'}
,{'RSI': '43.0636'}
,{'RSI': '42.4613'}
,{'RSI': '34.6392'}
,{'RSI': '26.4593'}
,{'RSI': '37.7930'}
,{'RSI': '41.3067'}
,{'RSI': '41.8280'}
,{'RSI': '38.3256'}
,{'RSI': '51.5823'}
,{'RSI': '55.3169'}
,{'RSI': '54.1552'}
,{'RSI': '47.5849'}
,{'RSI': '44.3296'}
,{'RSI': '27.0633'}
,{'RSI': '27.1686'}
,{'RSI': '28.4127'}
,{'RSI': '28.0569'}
,{'RSI': '31.3264'}
,{'RSI': '34.1954'}
,{'RSI': '37.6904'}
,{'RSI': '42.2561'}
,{'RSI': '41.3927'}
,{'RSI': '44.9628'}
,{'RSI': '49.5956'}
,{'RSI': '39.8546'}
,{'RSI': '39.9667'}
,{'RSI': '32.7278'}
,{'RSI': '25.8134'}
,{'RSI': '25.7193'}
,{'RSI': '26.6948'}
,{'RSI': '32.3548'}
,{'RSI': '28.8791'}
,{'RSI': '31.2163'}
,{'RSI': '32.0400'}
,{'RSI': '33.9906'}
,{'RSI': '33.4879'}
,{'RSI': '38.2380'}
,{'RSI': '39.7790'}
,{'RSI': '39.2279'}
,{'RSI': '57.2201'}
,{'RSI': '55.0092'}
,{'RSI': '58.8408'}
,{'RSI': '69.3346'}
,{'RSI': '68.9811'}
,{'RSI': '67.2540'}
,{'RSI': '74.5410'}
,{'RSI': '64.5471'}
,{'RSI': '61.6311'}
,{'RSI': '73.9919'}
,{'RSI': '72.9996'}
,{'RSI': '70.5618'}
,{'RSI': '62.6856'}
,{'RSI': '68.7477'}
,{'RSI': '67.1726'}
,{'RSI': '67.4573'}
,{'RSI': '76.5014'}
,{'RSI': '74.3280'}
,{'RSI': '67.0845'}
,{'RSI': '61.9607'}
,{'RSI': '66.3820'}
,{'RSI': '65.5817'}
,{'RSI': '57.7862'}
,{'RSI': '57.3053'}
,{'RSI': '67.6366'}
,{'RSI': '80.5271'}
,{'RSI': '77.0451'}
,{'RSI': '76.9021'}
,{'RSI': '68.9707'}
,{'RSI': '69.1582'}
,{'RSI': '65.4851'}
,{'RSI': '60.1311'}
,{'RSI': '63.9827'}
,{'RSI': '61.2753'}
,{'RSI': '71.1566'}
,{'RSI': '70.8675'}
,{'RSI': '64.1088'}
,{'RSI': '55.4813'}
,{'RSI': '54.3340'}
,{'RSI': '47.9642'}
,{'RSI': '72.0539'}
,{'RSI': '61.1589'}
,{'RSI': '55.4887'}
,{'RSI': '62.7168'}
,{'RSI': '60.5916'}
,{'RSI': '69.2404'}
,{'RSI': '78.8242'}
,{'RSI': '75.3476'}
,{'RSI': '76.8619'}
,{'RSI': '77.0361'}
,{'RSI': '78.1518'}
,{'RSI': '71.8650'}
,{'RSI': '65.9049'}
,{'RSI': '65.9049'}
,{'RSI': '60.9402'}
,{'RSI': '65.2133'}
,{'RSI': '67.9283'}
,{'RSI': '66.6798'}
,{'RSI': '60.1380'}
,{'RSI': '59.4128'}
,{'RSI': '54.6247'}
,{'RSI': '50.1536'}
,{'RSI': '56.1493'}
,{'RSI': '64.5006'}
,{'RSI': '59.1919'}
,{'RSI': '62.6115'}
,{'RSI': '56.3736'}
,{'RSI': '64.8460'}
,{'RSI': '62.8194'}
,{'RSI': '59.0413'}
,{'RSI': '59.8394'}
,{'RSI': '55.9336'}
,{'RSI': '61.4145'}
,{'RSI': '45.9119'}
,{'RSI': '40.7108'}
,{'RSI': '38.2336'}
,{'RSI': '39.0845'}
,{'RSI': '40.8705'}
,{'RSI': '39.0963'}
,{'RSI': '46.3050'}
,{'RSI': '41.4467'}
,{'RSI': '47.9859'}
,{'RSI': '53.1390'}
,{'RSI': '64.2231'}
,{'RSI': '62.5351'}
,{'RSI': '57.7512'}
,{'RSI': '53.6751'}
,{'RSI': '57.4413'}
,{'RSI': '46.8225'}
,{'RSI': '42.4005'}
,{'RSI': '42.5597'}
,{'RSI': '47.2741'}
,{'RSI': '40.5429'}
,{'RSI': '37.7682'}
,{'RSI': '42.1992'}
,{'RSI': '31.1222'}
,{'RSI': '29.9010'}
,{'RSI': '31.3518'}
,{'RSI': '29.4392'}
,{'RSI': '31.9784'}
,{'RSI': '32.0658'}
,{'RSI': '37.5590'}
,{'RSI': '41.3641'}
,{'RSI': '42.2318'}
,{'RSI': '39.8911'}
,{'RSI': '49.3874'}
,{'RSI': '37.4494'}
,{'RSI': '43.3922'}
,{'RSI': '37.0043'}
,{'RSI': '41.3189'}
,{'RSI': '45.4335'}
,{'RSI': '29.9980'}
,{'RSI': '30.1465'}
,{'RSI': '29.9384'}
,{'RSI': '25.1184'}
,{'RSI': '27.8485'}
,{'RSI': '25.1510'}
,{'RSI': '26.5889'}
,{'RSI': '26.1668'}
,{'RSI': '29.1203'}
,{'RSI': '34.9538'}
,{'RSI': '39.0172'}
,{'RSI': '41.4911'}
,{'RSI': '42.3111'}
,{'RSI': '43.9168'}
,{'RSI': '41.0318'}
,{'RSI': '38.7303'}
,{'RSI': '44.1798'}
,{'RSI': '51.5761'}
,{'RSI': '55.0180'}
,{'RSI': '54.5955'}
,{'RSI': '50.6926'}
,{'RSI': '55.5765'}
,{'RSI': '54.1143'}
,{'RSI': '52.2044'}
,{'RSI': '55.8475'}
,{'RSI': '47.9880'}
,{'RSI': '63.9728'}
,{'RSI': '45.9853'}
,{'RSI': '33.4042'}
,{'RSI': '48.4327'}
,{'RSI': '68.2677'}
,{'RSI': '67.9535'}
,{'RSI': '61.6696'}
,{'RSI': '50.9416'}
,{'RSI': '56.4276'}
,{'RSI': '51.0345'}
,{'RSI': '48.5108'}
,{'RSI': '44.4084'}
,{'RSI': '43.1266'}
,{'RSI': '50.5672'}
,{'RSI': '46.2904'}
,{'RSI': '52.1821'}
,{'RSI': '55.4686'}
,{'RSI': '55.3843'}
,{'RSI': '53.4822'}
,{'RSI': '55.7088'}
,{'RSI': '46.2907'}
,{'RSI': '52.0838'}
,{'RSI': '46.6000'}
,{'RSI': '56.3331'}
,{'RSI': '60.7234'}
,{'RSI': '64.2141'}
,{'RSI': '60.0839'}
,{'RSI': '56.5140'}
,{'RSI': '60.9169'}
,{'RSI': '63.6558'}
,{'RSI': '54.6079'}
,{'RSI': '59.5212'}
,{'RSI': '52.7241'}
,{'RSI': '60.9874'}
,{'RSI': '59.4474'}
,{'RSI': '54.0878'}
,{'RSI': '50.4121'}
,{'RSI': '53.4577'}
,{'RSI': '43.6318'}
,{'RSI': '43.1362'}
,{'RSI': '53.7745'}
,{'RSI': '46.1208'}
,{'RSI': '58.5547'}
,{'RSI': '55.7279'}
,{'RSI': '60.4264'}
,{'RSI': '55.2427'}
,{'RSI': '59.2145'}
,{'RSI': '63.5778'}
,{'RSI': '57.6381'}
,{'RSI': '53.1807'}
,{'RSI': '61.2811'}
,{'RSI': '61.1220'}
,{'RSI': '56.3613'}
,{'RSI': '54.3132'}
,{'RSI': '62.3202'}
,{'RSI': '52.5813'}
,{'RSI': '56.2893'}
,{'RSI': '60.6174'}
,{'RSI': '58.9608'}
,{'RSI': '49.1521'}
,{'RSI': '52.9869'}
,{'RSI': '56.7503'}
,{'RSI': '49.5402'}
,{'RSI': '54.3704'}
,{'RSI': '51.9334'}
,{'RSI': '57.8117'}
,{'RSI': '63.5823'}
,{'RSI': '57.9552'}
,{'RSI': '64.3274'}
,{'RSI': '64.1226'}
,{'RSI': '59.8329'}
,{'RSI': '68.7871'}
,{'RSI': '65.1580'}
,{'RSI': '64.6477'}
,{'RSI': '59.1257'}
,{'RSI': '56.9872'}
,{'RSI': '58.8012'}
,{'RSI': '54.7032'}
,{'RSI': '46.4779'}
,{'RSI': '54.0207'}
,{'RSI': '59.1234'}
,{'RSI': '56.9412'}
,{'RSI': '55.3494'}
,{'RSI': '69.7845'}
,{'RSI': '73.5257'}
,{'RSI': '67.1942'}
,{'RSI': '62.4340'}
,{'RSI': '58.4171'}
,{'RSI': '62.5411'}
,{'RSI': '59.0996'}
,{'RSI': '65.1459'}
,{'RSI': '65.5850'}
,{'RSI': '71.5546'}
,{'RSI': '64.7894'}
,{'RSI': '74.5635'}
,{'RSI': '73.7048'}
,{'RSI': '71.0679'}
,{'RSI': '63.6412'}
,{'RSI': '63.1127'}
,{'RSI': '54.8424'}
,{'RSI': '44.1827'}
,{'RSI': '40.3574'}
,{'RSI': '43.3665'}
,{'RSI': '40.1301'}
,{'RSI': '36.5279'}
,{'RSI': '40.1268'}
,{'RSI': '38.4800'}
,{'RSI': '36.1076'}
,{'RSI': '38.2072'}
,{'RSI': '30.3406'}
